id,week,arrest,fin,age,mar,prio,educ,emp_time
1,20,1,no,27,not married,3,3,NA
2,52,0,no,40,not married,2,5,5
3,37,1,no,17,not married,5,3,28
4,52,0,no,37,not married,2,3,19
5,25,1,no,20,not married,3,4,15
6,46,1,yes,22,not married,2,3,2
7,52,0,no,25,not married,12,3,12
8,52,0,no,24,not married,1,3,2
9,52,0,yes,44,married,0,3,2
10,52,0,yes,28,not married,1,3,1
11,52,0,yes,21,not married,0,4,18
12,52,0,yes,19,not married,2,3,5
13,52,0,no,33,not married,1,4,3
14,52,0,no,19,not married,2,3,NA
15,52,0,yes,19,not married,3,3,1
16,52,0,yes,23,married,9,3,1
17,52,0,yes,23,not married,3,5,8
18,52,0,yes,42,not married,0,5,3
19,52,0,no,24,not married,3,4,5
20,50,1,yes,20,not married,2,3,3
21,52,0,no,22,not married,5,3,1
22,52,0,no,27,not married,2,3,20
23,52,0,yes,19,not married,4,3,1
24,52,0,no,28,not married,3,3,NA
25,52,0,yes,33,married,9,3,2
26,52,0,no,24,not married,1,4,21
27,10,1,no,21,not married,14,3,7
28,52,0,no,22,not married,2,3,4
29,52,0,yes,19,not married,2,4,13
30,20,1,yes,23,not married,5,3,3
31,52,0,no,32,married,2,2,1
32,52,0,yes,27,not married,0,4,9
33,52,0,yes,36,not married,0,3,2
34,52,0,yes,32,not married,1,3,3
35,52,0,yes,42,not married,9,4,21
36,6,1,no,19,not married,6,3,NA
37,52,0,no,22,not married,2,4,7
38,52,0,no,36,not married,11,3,38
39,52,1,no,23,not married,2,4,6
40,52,0,no,21,not married,4,3,19
41,52,0,yes,25,not married,5,3,2
42,52,0,no,18,not married,0,3,6
43,52,0,yes,26,not married,2,4,25
44,52,0,no,20,not married,2,4,13
45,43,1,no,23,married,4,3,1
46,52,0,no,42,not married,2,6,2
47,52,0,no,21,not married,2,3,NA
48,5,1,no,19,not married,3,3,NA
49,52,0,no,20,not married,7,3,5
50,22,1,yes,19,not married,10,3,5
51,52,0,yes,22,not married,1,5,NA
52,18,1,no,22,not married,4,4,1
53,52,0,yes,22,not married,4,3,9
54,52,0,no,21,not married,1,3,29
55,52,0,yes,20,not married,2,3,4
56,52,0,yes,19,not married,3,4,22
57,52,0,yes,24,not married,2,4,16
58,52,0,yes,24,not married,1,4,5
59,26,1,no,32,not married,2,4,2
60,52,0,no,23,not married,3,3,6
61,49,1,yes,19,not married,1,4,18
62,52,0,no,20,not married,1,3,51
63,21,1,no,27,not married,0,3,4
64,48,1,no,19,not married,6,3,11
65,52,0,yes,21,not married,1,3,2
66,52,0,no,25,not married,3,2,13
67,52,0,no,20,not married,6,3,35
68,52,0,no,20,not married,2,3,20
69,52,0,no,22,not married,1,3,1
70,52,0,no,24,not married,3,3,1
71,52,0,yes,18,not married,4,3,2
72,52,0,yes,23,not married,6,3,NA
73,49,1,no,21,not married,1,3,9
74,52,0,yes,24,not married,14,3,6
75,52,0,no,38,not married,2,3,NA
76,52,0,no,26,not married,3,3,1
77,52,0,yes,29,not married,1,3,1
78,52,0,yes,21,married,2,4,10
79,52,0,no,22,not married,4,3,12
80,52,0,no,27,not married,2,4,13
81,52,0,yes,18,not married,2,3,NA
82,13,1,no,23,not married,5,3,6
83,52,0,yes,24,not married,2,3,5
84,52,0,yes,27,not married,4,3,1
85,52,0,yes,29,married,5,4,1
86,33,1,no,19,not married,10,4,8
87,52,0,yes,18,not married,0,3,5
88,52,0,yes,24,not married,1,5,4
89,52,0,yes,17,not married,0,3,1
90,52,0,no,21,not married,3,3,46
91,52,0,yes,43,not married,2,6,7
92,52,0,no,20,not married,0,4,3
93,52,0,yes,32,not married,10,3,19
94,52,0,yes,36,not married,8,3,15
95,52,0,yes,34,not married,2,3,2
96,52,0,yes,28,married,3,2,2
97,52,0,no,18,not married,6,3,3
98,52,0,yes,20,not married,4,3,1
99,52,0,yes,44,not married,3,2,2
100,52,0,yes,22,not married,11,3,6
101,17,1,no,23,not married,8,3,NA
102,52,0,no,19,not married,10,2,3
103,16,1,no,38,not married,3,3,1
104,3,1,no,30,not married,3,3,NA
105,52,0,no,37,not married,0,2,4
106,52,0,no,21,not married,1,3,14
107,52,0,yes,21,not married,1,3,1
108,52,0,yes,22,not married,2,3,7
109,52,0,no,25,not married,1,3,1
110,52,0,no,19,not married,1,3,6
111,16,1,yes,28,not married,5,3,NA
112,52,0,no,19,not married,1,4,4
113,52,0,no,25,married,0,4,8
114,52,0,yes,19,not married,1,3,11
115,52,0,yes,25,not married,2,6,9
116,52,0,yes,30,not married,1,3,2
117,52,0,no,29,not married,4,4,3
118,52,0,no,28,married,4,3,2
119,52,0,yes,23,not married,2,6,35
120,52,0,no,24,not married,4,3,9
121,52,0,no,29,married,1,3,2
122,52,0,no,26,married,2,3,10
123,52,0,no,39,married,3,3,1
124,52,0,yes,20,not married,1,3,2
125,52,0,yes,21,not married,2,4,12
126,52,0,yes,21,not married,1,3,1
127,43,1,no,18,not married,3,3,2
128,46,1,yes,25,not married,1,4,20
129,14,1,no,20,not married,7,3,2
130,52,0,no,24,married,11,3,7
131,8,1,no,28,not married,4,4,NA
132,52,0,no,21,not married,2,4,42
133,52,0,no,25,not married,1,3,33
134,52,0,no,24,not married,1,4,20
135,52,0,no,29,married,3,5,7
136,25,1,no,28,not married,18,3,NA
137,52,0,no,20,not married,1,5,11
138,37,1,yes,22,not married,1,3,12
139,52,0,no,20,not married,8,3,7
140,52,0,yes,21,not married,2,4,5
141,52,0,yes,21,not married,1,4,2
142,52,0,no,26,not married,1,2,2
143,52,0,no,23,married,2,3,2
144,52,0,yes,22,not married,4,3,1
145,52,0,yes,40,not married,5,2,NA
146,52,0,yes,32,not married,2,3,15
147,52,0,no,29,married,3,4,9
148,52,0,no,22,not married,1,3,6
149,52,0,no,22,not married,5,4,1
150,52,0,no,22,not married,1,3,3
151,52,0,yes,32,not married,1,3,5
152,38,1,no,21,not married,2,2,34
153,52,0,yes,36,not married,1,2,2
154,32,1,yes,19,not married,0,4,1
155,52,0,no,18,not married,4,4,NA
156,52,0,yes,25,not married,1,5,11
157,52,0,yes,25,not married,2,3,NA
158,52,0,yes,20,not married,4,5,4
159,52,0,yes,24,not married,5,3,2
160,52,0,no,24,not married,0,4,6
161,52,0,yes,34,not married,1,5,4
162,31,1,no,19,not married,5,3,10
163,20,1,yes,23,not married,1,3,2
164,40,1,no,19,not married,3,3,8
165,52,0,yes,31,not married,2,4,2
166,52,0,no,23,married,0,4,1
167,52,0,no,42,not married,2,3,2
168,52,0,no,20,not married,9,3,NA
169,26,1,no,27,not married,1,5,7
170,52,0,yes,24,not married,5,3,42
171,52,0,no,25,not married,2,5,5
172,52,0,yes,20,not married,2,4,3
173,52,0,yes,20,not married,2,4,2
174,47,1,no,22,not married,3,3,2
175,52,0,no,22,not married,2,4,2
176,52,0,yes,30,married,2,3,2
177,52,0,no,25,married,5,3,1
178,52,0,yes,24,not married,2,3,7
179,52,0,yes,35,not married,6,3,4
180,1,1,no,20,not married,0,3,NA
181,24,1,no,23,not married,1,3,1
182,11,1,no,19,not married,18,4,NA
183,33,1,no,21,not married,3,3,4
184,52,0,no,21,not married,1,4,1
185,46,1,yes,21,not married,5,3,NA
186,36,1,yes,17,not married,3,3,4
187,52,0,yes,22,not married,1,4,9
188,52,0,yes,21,not married,1,4,2
189,52,0,yes,35,not married,5,3,1
190,50,1,no,23,not married,8,3,NA
191,52,0,yes,20,not married,4,3,5
192,35,1,yes,19,not married,1,3,NA
193,52,0,no,20,not married,1,5,28
194,39,1,no,23,not married,4,3,NA
195,9,1,yes,26,not married,0,3,7
196,52,0,no,26,not married,2,3,13
197,52,0,no,27,not married,1,5,9
198,34,1,yes,19,not married,3,3,3
199,52,0,yes,30,not married,2,3,7
200,52,0,yes,42,not married,1,5,9
201,35,1,yes,20,not married,3,3,1
202,52,0,no,37,married,1,3,1
203,52,0,no,28,married,1,6,2
204,52,0,no,33,not married,0,4,1
205,19,1,yes,22,not married,4,3,19
206,43,1,no,20,married,10,3,10
207,52,0,no,20,not married,1,4,1
208,37,1,yes,26,not married,11,5,NA
209,20,1,yes,26,not married,1,4,13
210,52,0,no,25,not married,1,6,3
211,36,1,yes,23,not married,3,3,NA
212,52,0,no,27,not married,0,5,11
213,52,0,no,20,not married,4,5,3
214,52,0,yes,20,not married,9,3,NA
215,52,0,no,31,not married,1,3,5
216,52,0,no,43,not married,1,5,1
217,52,0,no,29,not married,1,4,NA
218,52,0,yes,21,not married,0,4,19
219,52,0,yes,26,married,1,4,6
220,42,1,yes,20,not married,0,3,18
221,52,0,no,23,not married,6,4,6
222,52,0,no,25,not married,5,3,28
223,40,1,no,18,not married,2,4,3
224,52,0,yes,25,married,2,5,13
225,46,1,no,24,married,2,3,2
226,52,0,no,18,not married,3,5,13
227,52,0,no,23,not married,0,3,1
228,52,0,no,20,not married,2,3,NA
229,49,1,yes,18,not married,1,3,15
230,52,0,no,23,not married,2,5,NA
231,52,0,yes,20,not married,1,3,10
232,52,0,no,23,not married,5,3,NA
233,52,0,no,23,not married,1,4,4
234,52,0,no,23,married,2,3,6
235,52,0,yes,26,married,4,2,7
236,52,0,yes,36,not married,4,3,1
237,27,1,no,20,not married,1,3,21
238,52,0,yes,24,not married,1,3,25
239,52,0,yes,20,married,1,3,NA
240,52,1,no,21,not married,0,3,NA
241,45,1,yes,18,not married,5,3,NA
242,52,1,no,33,not married,2,4,1
243,36,1,yes,19,not married,2,3,NA
244,52,0,yes,21,not married,1,5,7
245,52,0,yes,21,not married,1,4,2
246,8,1,yes,21,not married,4,3,4
247,19,1,no,18,not married,2,3,NA
248,52,0,yes,31,not married,3,3,20
249,52,0,yes,20,married,1,3,3
250,52,0,yes,24,not married,1,4,1
